Año,Trimestre,Provincia,Mbps (Media de bajada),Velocidad anterior,Variación (%)
2021,1,Córdoba,36.1687993284376,35.1206012418839,2.9845676027426626
2021,2,Córdoba,39.5901164899479,36.1687993284376,9.459305326788392
2021,3,Córdoba,41.927787245662,39.5901164899479,5.9046826909631465
2021,4,Córdoba,46.3609074579921,41.927787245662,10.573227216489373
2022,1,Córdoba,49.89,46.3609074579921,7.612216273388596
2022,2,Córdoba,53.51,49.89,7.25596311886149
2022,3,Córdoba,56.32,53.51,5.251354886937025
2022,4,Córdoba,108.77,56.32,93.12855113636363
2023,1,Córdoba,109.57,108.77,0.7354969201066445
2023,2,Córdoba,111.82,109.57,2.05348179246144
2023,3,Córdoba,111.5,111.82,-0.2861742085494484
2023,4,Córdoba,114.03,111.5,2.269058295964127
2024,1,Córdoba,114.89,114.03,0.7541874945189857
2024,2,Córdoba,117.39,114.89,2.1759944294542604
2014,2,Entre Ríos,3.31240030997454,3.16729008998272,4.581526032325376
2014,3,Entre Ríos,3.39960794175268,3.31240030997454,2.632762456745759
2014,4,Entre Ríos,3.80005178711007,3.39960794175268,11.779118422430198
2015,1,Entre Ríos,4.34674650578663,3.80005178711007,14.386507061060872
2015,2,Entre Ríos,4.55056996750087,4.34674650578663,4.689103941140781
2015,3,Entre Ríos,4.76671236672909,4.55056996750087,4.749787406233932
2015,4,Entre Ríos,5.00785590529936,4.76671236672909,5.058906852727566
2016,1,Entre Ríos,5.08457490560524,5.00785590529936,1.5319729991570796
2016,2,Entre Ríos,5.13114278330125,5.08457490560524,0.9158657028471366
2016,3,Entre Ríos,5.58642748832949,5.13114278330125,8.872968932182417
2016,4,Entre Ríos,5.80735082912761,5.58642748832949,3.9546443815774333
2017,1,Entre Ríos,5.95147457570752,5.80735082912761,2.4817468553309503
2017,2,Entre Ríos,6.28781010629277,5.95147457570752,5.651297444134095
2017,3,Entre Ríos,6.99340063934965,6.28781010629277,11.221562374327005
2017,4,Entre Ríos,9.29596061999907,6.99340063934965,32.92475434188118
2018,1,Entre Ríos,9.87523936699876,9.29596061999907,6.231510337441048
2018,2,Entre Ríos,10.18670275176,9.87523936699876,3.1539831409261136
2018,3,Entre Ríos,10.5247535062873,10.18670275176,3.3185493163515907
2018,4,Entre Ríos,11.023282490377,10.5247535062873,4.7367283594042044
2019,1,Entre Ríos,10.659197328954,11.023282490377,-3.3028742730745977
2019,2,Entre Ríos,12.1933578179506,10.659197328954,14.392833171680747
2019,3,Entre Ríos,14.6951328665006,12.1933578179506,20.51752344105724
2019,4,Entre Ríos,17.0075808976571,14.6951328665006,15.736149187381729
2020,1,Entre Ríos,19.0297653350575,17.0075808976571,11.889900448328723
2020,2,Entre Ríos,20.4486211784426,19.0297653350575,7.455981817974489
2020,3,Entre Ríos,22.4325986462062,20.4486211784426,9.702255474589904
2020,4,Entre Ríos,24.0532782530605,22.4325986462062,7.224662788358637
2021,1,Entre Ríos,23.8713343731836,24.0532782530605,-0.7564203014769947
2021,2,Entre Ríos,27.6189730620356,23.8713343731836,15.699326356309573
2021,3,Entre Ríos,29.6012318794928,27.6189730620356,7.177163368836357
2021,4,Entre Ríos,33.3171258416746,29.6012318794928,12.55317338585529
2022,1,Entre Ríos,35.59,33.3171258416746,6.821939470788277
2022,2,Entre Ríos,40.03,35.59,12.475414442259055
2022,3,Entre Ríos,42.49,40.03,6.145390956782415
2022,4,Entre Ríos,87.47,42.49,105.86020240056482
2023,1,Entre Ríos,86.71,87.47,-0.8688693266262777
2023,2,Entre Ríos,89.37,86.71,3.0676969207703966
2023,3,Entre Ríos,96.26,89.37,7.709522211032785
2023,4,Entre Ríos,101.18,96.26,5.111157282360276
2024,1,Entre Ríos,101.36,101.18,0.17790077090333326
2024,2,Entre Ríos,100.98,101.36,-0.374901341752166
2014,2,Formosa,2.65235125,2.57372921091968,3.0547906417950537
2014,3,Formosa,2.65628301523038,2.65235125,0.14823697390681706
2014,4,Formosa,3.02332661782662,2.65628301523038,13.81794035092328
2015,1,Formosa,3.38115011235955,3.02332661782662,11.835423021220205
2015,2,Formosa,3.76491568402765,3.38115011235955,11.350148881745078
2015,3,Formosa,4.16616410219452,3.76491568402765,10.657567176580708
2015,4,Formosa,4.66030856858068,4.16616410219452,11.860897801070067
2016,1,Formosa,4.87233338042096,4.66030856858068,4.549587408647772
2016,2,Formosa,5.10413219586628,4.87233338042096,4.757449816073414
2016,3,Formosa,5.4161310069991,5.10413219586628,6.112671050830154
2016,4,Formosa,5.63067416491632,5.4161310069991,3.9611884875009875
2017,1,Formosa,5.74238893190157,5.63067416491632,1.9840389216858685
2017,2,Formosa,6.1786533146405,5.74238893190157,7.597262879831837
2017,3,Formosa,7.06882153411281,6.1786533146405,14.407155963307247
2017,4,Formosa,10.1141704637663,7.06882153411281,43.08142333141679
2018,1,Formosa,11.0568153674695,10.1141704637663,9.320041688838415
2018,2,Formosa,8.97498653077717,11.0568153674695,-18.82846703597245
2018,3,Formosa,9.31849544106828,8.97498653077717,3.827403073120429
2018,4,Formosa,9.8168937119138,9.31849544106828,5.348484355628803
2019,1,Formosa,9.82508995783571,9.8168937119138,0.08349123625493962
2019,2,Formosa,10.8366112194808,9.82508995783571,10.295287534119531
2019,3,Formosa,13.223537484062,10.8366112194808,22.026500870403673
2019,4,Formosa,14.5256295515193,13.223537484062,9.846775637961318
2020,1,Formosa,15.6973526074151,14.5256295515193,8.066590516713571
2020,2,Formosa,16.8702589931144,15.6973526074151,7.4720012669222
2020,3,Formosa,18.2828320694304,16.8702589931144,8.373155841250208
2020,4,Formosa,19.6983490087788,18.2828320694304,7.742328617212424
2021,1,Formosa,20.9803275069752,19.6983490087788,6.508050484967412
2021,2,Formosa,23.9663045280676,20.9803275069752,14.232270778898325
2021,3,Formosa,26.6894267849467,23.9663045280676,11.362295149383492
2021,4,Formosa,28.7576489476942,26.6894267849467,7.749219117414738
2022,1,Formosa,30.28,28.7576489476942,5.293725697377858
2022,2,Formosa,28.47,30.28,-5.977542932628805
2022,3,Formosa,30.35,28.47,6.603442219880586
2022,4,Formosa,72.03,30.35,137.33113673805602
2023,1,Formosa,73.96,72.03,2.6794391225878003
2023,2,Formosa,77.32,73.96,4.542996214169821
2023,3,Formosa,80.29,77.32,3.8411795137092772
2023,4,Formosa,83.35,80.29,3.8111844563457313
2024,1,Formosa,83.8,83.35,0.5398920215956843
2024,2,Formosa,82.66,83.8,-1.3603818615751797
2014,2,Jujuy,2.76903167947822,2.69026334940686,2.9279040688981737
2014,3,Jujuy,2.93070539025186,2.76903167947822,5.838637093675459
2014,4,Jujuy,3.12764210819079,2.93070539025186,6.719771922281334
2015,1,Jujuy,3.24190210859827,3.12764210819079,3.653231298691483
2015,2,Jujuy,3.40867884314609,3.24190210859827,5.144409947033554
2015,3,Jujuy,3.53272455120101,3.40867884314609,3.6391139723926123
2015,4,Jujuy,3.7246804758923,3.53272455120101,5.433651050604304
2016,1,Jujuy,3.77122134259834,3.7246804758923,1.2495264226628877
2016,2,Jujuy,3.84335304395807,3.77122134259834,1.9126880871445187
2016,3,Jujuy,4.21529113090901,3.84335304395807,9.677437453622542
2016,4,Jujuy,4.32396274574204,4.21529113090901,2.578033437268078
2017,1,Jujuy,4.39386125963475,4.32396274574204,1.6165383006951553
2017,2,Jujuy,4.54186187819401,4.39386125963475,3.3683498365982176
2017,3,Jujuy,4.6890067253692,4.54186187819401,3.2397472913399095
2017,4,Jujuy,6.63882127356649,4.6890067253692,41.58267757749413
2018,1,Jujuy,6.74118587938453,6.63882127356649,1.541909348058828
2018,2,Jujuy,6.28934558921364,6.74118587938453,-6.7026825584602285
2018,3,Jujuy,7.66987215181415,6.28934558921364,21.950241770274843
2018,4,Jujuy,8.56273760175261,7.66987215181415,11.641203820161088
2019,1,Jujuy,8.56046421746506,8.56273760175261,-0.026549736699681886
2019,2,Jujuy,12.0733822805073,8.56046421746506,41.03653696577789
2019,3,Jujuy,11.9682409299243,12.0733822805073,-0.8708524930313145
2019,4,Jujuy,12.9592000428042,11.9682409299243,8.279906117215566
2020,1,Jujuy,14.1449220571547,12.9592000428042,9.149654380162843
2020,2,Jujuy,15.8640136318626,14.1449220571547,12.153418504263577
2020,3,Jujuy,21.91041968687,15.8640136318626,38.113974151303665
2020,4,Jujuy,25.2063932841615,21.91041968687,15.04295054314564
2021,1,Jujuy,26.777362312404,25.2063932841615,6.232422903714764
2021,2,Jujuy,25.8124778568622,26.777362312404,-3.603358853216257
2021,3,Jujuy,25.9807025202975,25.8124778568622,0.6517183835203862
2021,4,Jujuy,27.1443430384171,25.9807025202975,4.478864715880972
2022,1,Jujuy,27.69,27.1443430384171,2.010205075918165
2022,2,Jujuy,29.39,27.69,6.139400505597686
2022,3,Jujuy,32.43,29.39,10.343654304185094
2022,4,Jujuy,39.32,32.43,21.24576009867407
2023,1,Jujuy,42.75,39.32,8.723296032553407
2023,2,Jujuy,43.56,42.75,1.8947368421052686
2023,3,Jujuy,44.55,43.56,2.272727272727261
2023,4,Jujuy,46.2,44.55,3.7037037037037166
